name,latitude,longitude,reference_code
P4.3 Coronel - Santa Julia,-33.5411449,-70.6149956,P4.3
P4.2 Gnmo. de Alderete - Vicuña Mackena,-33.5268018,-70.6025742,P4.2
P1.3 2a Transversal - Camino a Melipilla,-33.5058611,-70.728455,P1.3
P1.1 General Velásquez - Ruta 78,-33.5165613,-70.7125335,P1.1
P2.2 Gral. Velásquez - Ruta 5,-33.526262,-70.6941029,P2.2
P2.1 Ruta 5 - General Velásquez,-33.5260519,-70.6940167,P2.1
P3.3 Gran Avenida - Ruta 5,-33.5335852,-70.6763449,P3.3
P3.4 Ruta 5 - Gran Avenida,-33.5338163,-70.6764509,P3.4
P3.2 Gran Avenida - Santa Rosa,-33.5398418,-70.6529975,P3.2
P3.1 Santa Rosa - Gran Avenida,-33.539608,-70.6529431,P3.1
P101 Salto - Kennedy,-33.3986159,-70.6157247,PC 101
PA4 - Calera de Tango - La Capilla,-33.6219812,-70.7148676,PA4
PA3 - La Capilla - Colón,-33.6227591,-70.7145696,PA3
PA5 - Colón - Las Acacias,-33.5827543,-70.7138422,PA5
PA6 - Lo Blanco - Colón,-33.5824122,-70.7139749,PA6
EV Entrada Vivaceta,-33.4302801,-70.6572269,EV
P04 Vivaceta - Torres Tajamar,-33.4302245,-70.6579611,P04
PA15 - 14 de la Fama - Río Mapocho,-33.4265149,-70.6688947,PA15
P07 Las Tranqueras - Estoril,-33.3872062,-70.5413721,P07
PA23 - Carlos Valdovinos - Alameda,-33.4690606,-70.6881273,PA23
PA24 - Alameda - Carlos Valdovinos,-33.4698378,-70.6882455,PA24
PA21 - Américo Vespucio - Carlos Valdovinos,-33.5064259,-70.697251,PA21
PA22 - Carlos Valdovinos - Américo Vespucio,-33.5056315,-70.6970203,PA22
PA29 - Ruta 5 Norte - Río Mapocho,-33.3819384,-70.6954739,PA29
PA25 - Alameda - Río Mapocho,-33.4467397,-70.6920804,PA25
PA26 - Río Mapocho - Alameda,-33.4474517,-70.6922865,PA26
PA10 - Departamental - Carlos Valdovinos,-33.4957722,-70.6638989,PA10
